"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1966",3.10699378601237,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1967",3.86878898854789,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1968",4.17223020051133,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1969",6.62316417856934,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1970",6.19199418933094,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1971",3.75302137019929,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1972",5.2556466603226,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1973",6.12232756983207,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1974",4.19963425017949,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1975",-1.32700026476008,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1976",5.65275096654562,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1977",0.626135477529568,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1978",2.84191266438317,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1979",2.34105800146796,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1980",4.47950122103937,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1981",-0.27928361922309,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1982",0.594986944531178,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1983",0.311842729140544,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1984",2.46638265896653,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1985",1.65179284282233,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1986",1.82276212750619,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1987",2.30665942919146,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1988",4.72320890020787,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1989",3.46916681332645,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1990",3.13740245549291,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1991",1.83307429747979,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1992",1.53065481010349,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1993",-0.961873090754529,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1994",3.2269714687309,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1995",2.38475722188069,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1996",1.31728787508296,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1997",3.79360159425736,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1998",1.96283599739573,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","1999",3.54191032503347,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2000",3.72437662235507,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2001",1.09263427389265,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2002",1.70645494262807,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2003",1.03790813421409,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2004",3.57025015402854,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2005",2.32706317522611,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2006",2.55269320843091,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2007",3.6723399110729,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2008",0.445470659576453,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2009",-2.01804423598373,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2010",2.86428231006817,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2011",1.69431652668952,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2012",0.739280805884041,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2013",0.459253151431106,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2014",1.57839886781093,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2015",2.03281594714972,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2016",1.47827818987718,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2017",1.90393533572498,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2018",1.4875427001337,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2019",1.4044571276999,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2020",-11.2320546315249,
"BEL","REALGDPFORECAST","DOUBLEHIT","AGRWTH","A","2021",3.42699578741553,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1961",4.97401187663619,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1962",5.18151481936109,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1963",4.40404769422768,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1964",6.94762636982809,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1965",3.58614517362045,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1966",3.10699378601237,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1967",3.86878898854789,
"BEL","REALGDPFORECAST","SINGLEHIT","AGRWTH","A","1968",4.17223020051133,
